구분,2019,2020,증감량,증감률
전국,"5,700,859","4,192,209","1,508,650",26.5
수도권,"3,898,066","2,868,096","1,029,970",26.4
"부산, 울산권","763,282","570,731","192,550",25.2
대구권,"258,420","183,926","74,495",28.8
광주권,"142,047","96,893","45,154",31.8
대전권,"235,726","169,135","66,591",28.2
